PILAR,Dimensões,,Coordenadas,,Inércia,,Módulo de Elasticidade,Centro de Torção,,,,Centro de Massa,,,Excentricidade Estrutural,
,b (m),h (m),Xi (m),Yi (m),Ix (m4),Iy (m4),E (C30/37) (Kn/m2),Ei Iy,Ei Iy Xi,Ei Ix,Ei Ix Yi,b x h,b x h x Xi,b x h x Yi,Xi^2 Ei Iyi + Yi^2 Ei Ixi,
A1,0.20,0.20,0.00,0.00,0.00,0.00,33000000.00,4400.00,0.00,4400.00,0.00,0.04,0.00,0.00,0.00,
A2,0.20,0.20,0.00,4.97,0.00,0.00,33000000.00,4400.00,0.00,4400.00,21868.00,0.04,0.00,0.20,108683.96,
A4,0.20,0.50,0.00,15.65,0.00,0.00,33000000.00,68750.00,0.00,11000.00,172150.00,0.10,0.00,1.57,2694147.50,
C1,0.20,0.20,6.62,0.00,0.00,0.00,33000000.00,4400.00,29128.00,4400.00,0.00,0.04,0.26,0.00,192827.36,
C2,0.20,0.20,6.62,4.97,0.00,0.00,33000000.00,4400.00,29128.00,4400.00,21868.00,0.04,0.26,0.20,301511.32,
C3,0.20,0.60,6.62,9.84,0.00,0.00,33000000.00,118800.00,786456.00,13200.00,129888.00,0.12,0.79,1.18,6484436.64,
C4,0.50,0.40,6.62,15.60,0.00,0.00,33000000.00,88000.00,582560.00,137500.00,2145000.00,0.20,1.32,3.12,37318547.20,
C6,0.30,0.40,6.62,21.57,0.00,0.00,33000000.00,52800.00,349536.00,29700.00,640629.00,0.12,0.79,2.59,16132295.85,
D2,0.20,0.20,9.97,4.97,0.00,0.00,33000000.00,4400.00,43868.00,4400.00,21868.00,0.04,0.40,0.20,546047.92,
D3,0.40,0.30,9.97,9.99,0.00,0.00,33000000.00,29700.00,296109.00,52800.00,527472.00,0.12,1.20,1.20,8221652.01,
D4,0.20,0.30,9.97,15.65,0.00,0.00,33000000.00,14850.00,148054.50,6600.00,103290.00,0.06,0.60,0.94,3092591.87,
